title,marks,condition,category,height,width,length,weight,create_date,target_group,is_painting_hint,is_icon_hint,is_coin_hint,is_doc_hint
"Спилок ""Городские пришельцы узнают в церкви икону Богоматери"" (фрагмент иконы)  Первая половина XVIII века  Дерево, левкас, темпера  31,0x21,5 см",Внизу на красном прямоугольнике белая надпись   См. изображение,"Потемневшая олифа, загрязнения, сколы левкаса по полям, многочисленные утраты краски на поверхности. ",ИКОНА,NA,31см,"21,5 см",NA,2018-02-22T14:11:56+03:00,ICON,0,1,0,0
"""Моливдовул. Печать малых размеров""  VI-VII вв. н. э.  Литье, свинец.  17 мм., по матрице не более 13 мм., на толстой пластине около 4 мм.",NA,Патина. Скол на обратной стороне в левой части под монограммой. ,ПРЕДМЕТЫ ФАЛЕРИСТИКИ И СФРАГИСТИКИ,NA,NA,NA,NA,2018-02-22T15:45:21+03:00,NUMISMATICS,0,0,0,0
Печать инспектора народных училищ Симбирской губернии  Металл. ," По окружности выгравирован текст: ""Инспектора народных училищ Симбирской губ.""",полная,ПРЕДМЕТЫ ФАЛЕРИСТИКИ И СФРАГИСТИКИ,NA,NA,NA,NA,2018-02-22T16:48:24+03:00,NUMISMATICS,0,0,0,0
"""Вечер"" Красноярск, 1986 г.  Кудринский Валерий Иннокентьевич  Материал: бумага, акварель  Размер : 19x29 см  Акт приема № 7 от 12.01.1988 г., дар Кудринского В.И.  НХГ 1258  ГР 947  № по государственному каталогу МФ РФ 3566759",NA,без видимых изменений,ЖИВОПИСЬ,19,NA,29,NA,2018-02-26T11:12:16+03:00,ART,1,0,0,1
"""Осень"", Норильск, 1987 г.  Шульжинский Анатолий Степанович  Материал: бумага, гуашь  Размер: 13x25 см  Акт приема №17 от 08.10.1992 г.  приобретено у Шульжинского А.С.  цена: 70 руб  НХГ 2622  ГР 1964  № по государственному каталогу МФ РФ 3408187",NA,удовлетворительное состояние,ЖИВОПИСЬ,13,NA,25,NA,2018-02-26T11:44:38+03:00,ART,0,0,0,1
"""Разлетающиеся латы"", Норильск, 1992 г.  Костаринов Валерий Анатольевич  Материал: бумага, тушь  Размер: 20,5x20.5 см  Акт приема № 3 от 15.03.1994 г.   Дар Костаринова В.А.  НХГ 2787  ГР 2036  № по государственному каталог МФ РФ 3408109 ",NA,удовлетворительное состояние,ЖИВОПИСЬ,"20,5 см",NA,"20,5 см",NA,2018-02-26T12:24:13+03:00,ART,0,0,0,1
"Журнал ""Литературная Грузия"" № 8 за 1979 г. со статьей С. Рехвиашвили о творчестве Ладо Сурмавы, 162 стр.   Материал: газетная бумага  Размер: 20x12,5 см  Акт приема № 21 от 01.07.1999 г. Передан вдовой Л.Сурмавы  НХГ 4716  АРХ 139",NA,обложка подклеена скочем,ПЕЧАТНЫЕ ИЗДАНИЯ,20 см,NA,"12,5 см",NA,2018-02-26T13:20:26+03:00,DOCUMENTS,0,0,0,1
"Медаль ""Жукова""  Гик-663  Н- 282  ",NA,полная,МОНЕТА / МЕДАЛЬ,NA,NA,NA,NA,2018-02-26T15:23:31+03:00,NUMISMATICS,0,0,0,0
"Орден ""Отечественной войны 1 степени""  ГИК - 659; Н -280  номер ордена 2424044  ",NA,полная,МОНЕТА / МЕДАЛЬ,NA,NA,NA,NA,2018-02-26T15:50:47+03:00,NUMISMATICS,0,0,0,0
"Медаль ""За отвагу""  ГИК-322, Н-61  номер медали 1719877",номер медали 1719877,полная,МОНЕТА / МЕДАЛЬ,NA,NA,NA,NA,2018-02-26T16:04:04+03:00,NUMISMATICS,0,0,0,0
"Орден ""Отечественной войны 1 степени""  ГИК-606, Н-265  номер ордена 5256921",номер ордена 5256921,полная,МОНЕТА / МЕДАЛЬ,NA,NA,NA,NA,2018-02-27T13:24:31+03:00,NUMISMATICS,0,0,0,0
"Орден ""Отечественной войны 2 степени""  ГИК-661, Н-281  номер ордена 5545401",номер ордена 5545401,полная,МОНЕТА / МЕДАЛЬ,NA,NA,NA,NA,2018-02-27T13:33:54+03:00,NUMISMATICS,0,0,0,0
"Медаль ""За боевые заслуги""  ГИК-323, Н-62  номер медали 13429",номер медали 13429,не полная,МОНЕТА / МЕДАЛЬ,NA,NA,NA,NA,2018-02-27T15:15:38+03:00,NUMISMATICS,0,0,0,0
"Орден ""Красной звезды""  ГИК-312, Н-53  номер ордена 967842",номер ордена 967842,полная,МОНЕТА / МЕДАЛЬ,NA,NA,NA,NA,2018-02-27T16:21:34+03:00,NUMISMATICS,0,0,0,0
"орден ""Красной звезды""  ГИК-313, Н-54  номер ордена 2741610",номер ордена 2741610,полная,МОНЕТА / МЕДАЛЬ,NA,NA,NA,NA,2018-02-27T16:40:39+03:00,NUMISMATICS,0,0,0,0
"медаль ""За отвагу""  ГИК-315, Н-56  номер медали 618992",номер медали 618992,полная,МОНЕТА / МЕДАЛЬ,NA,NA,NA,NA,2018-02-27T16:52:48+03:00,NUMISMATICS,0,0,0,0
"медаль ""За отвагу""  ГИК-656,Н-278  номер медали 2765373",номер медали 2765373,полная,МОНЕТА / МЕДАЛЬ,NA,NA,NA,NA,2018-02-27T17:06:09+03:00,NUMISMATICS,0,0,0,0
"Медаль ""За отвагу""  ГИК-657, Н-279  номер медали - 2399917",номер медали - 2399917,полная,МОНЕТА / МЕДАЛЬ,NA,NA,NA,NA,2018-02-27T17:17:48+03:00,NUMISMATICS,0,0,0,0
"Военный билет ветерана ВОВ  ГИК-605, Д-84  Номер военного билета 85192 от 22.10.1963 г., выдан Кильметьеву Вилю Сабировичу , ветерану ВОВ ",Номер военного билета 85192 ,полная,ДОКУМЕНТ / КНИГА,NA,NA,NA,NA,2018-02-27T17:35:00+03:00,DOCUMENTS,0,0,0,0
"Монеты 47 штук  ГИК-168, Н-1-17  ГИК-227, Н-19-52  без опознавательных знаков",без опознавательных знаков,полная,МОНЕТА / МЕДАЛЬ,NA,NA,NA,NA,2018-02-28T11:40:50+03:00,NUMISMATICS,0,0,0,0
"""Самовар"" 1913 г.  Малевич К.С.  Холст, масло; 87x61  учетные номера: 31759; Х 922/14  Поступление: 1922, из Музейного бюро Отдела ИЗО Нарком-проса РСФСР  Сведения даны из Инвентарной книги, зарегистрированной в Контрольном п/отделе УФО 31 марта 1927 г. за № 159",31759  Х 922/14,NA,ЖИВОПИСЬ,87,61,NA,NA,2018-04-02T13:54:02+03:00,ART,1,0,0,0
"""Беспредметная композиция"" 1918 г.  Попова Л.С.  Холст, масло 70х48  31765, Х 922/20  Поступление: 1922, из Музейного бюро Отдела ИЗО Нарком-проса РСФСР  Сведения даны из Инвентарной книги, зарегистрированной в Контрольном п/отделе Ростовского УФО 31 марта 1927 г. за № 159",31765  Х 922/20,NA,ЖИВОПИСЬ,70,48,NA,NA,2018-04-02T14:43:43+03:00,ART,1,0,0,0
"Кустодия  Автор: Франц Жаннер  Материал: медь  Высота - 29,1 см   Диаметр - 10,9 см.  В центре монограмма IHS, наверху изображен терновый венок",В центре монограмма IHS,NA,РЕЛИГИОЗНЫЙ ПРЕДМЕТ,"29,1 см",NA,NA,NA,2018-08-22T09:57:38+03:00,ICON,0,0,1,0
"Дароносица с изображением богоматери и ангелов 1901 г.  Материал: латунь,  позолота  имеются надписи: 995 1901",надпись 995 1901,NA,РЕЛИГИОЗНЫЙ ПРЕДМЕТ,NA,NA,NA,NA,2018-08-22T09:57:38+03:00,ICON,0,0,1,0
"Киворий   Автор : Степан Громбах, 1701 г.р.  Материал: серебро, гравировка, позолота.   размер: 29,1 см",NA,NA,РЕЛИГИОЗНЫЙ ПРЕДМЕТ,NA,NA,NA,NA,2018-08-22T09:57:38+03:00,ICON,0,0,1,0
"Графины на металлическом подносе. 1697-1718  Автор - Доменикус Салер  Материал: серебро, позолота.  Имеется надпись:  IHS MAR",Имеется надпись:  IHS MAR,NA,РЕЛИГИОЗНЫЙ ПРЕДМЕТ,NA,NA,NA,NA,2018-08-22T09:57:38+03:00,ICON,0,0,1,0
"Дароносица с изображением ангела, быка, льва и орла.  Материал: латунь, драгоценные камни, позолота, серебро.  высота: - 36 см  диаметр - 14,5 см. ",NA,NA,РЕЛИГИОЗНЫЙ ПРЕДМЕТ,36 см,NA,NA,NA,2018-08-22T09:57:38+03:00,ICON,0,0,1,0
"Игральная карта. Силуэт. Кругликова Е.С.  Бумага черная, неклеена на белый картон.  И: 10,8х7,3  Л: 15х11,4    КП-36719  РС-4760  ГК-5726710   ","На обороте овальный штамп : ЕК"" и чернилами: ""106""","загрязнен, края помяты, нижний край неровный",ПЕЧАТНЫЕ ИЗДАНИЯ,NA,NA,NA,NA,2018-09-03T13:04:31+03:00,DOCUMENTS,0,0,0,0
"Игральная карта. Дама. Силуэт. Кругликова Е.С.  Бумага черная и красная, наклеена на картон  И: 10,7х7,2  Л: 15х11,8    КП -36720  РС-4761  ГК-5726687",NA,Слегка загрязнен. Черная бумага местами отклеилась. ,ПЕЧАТНЫЕ ИЗДАНИЯ,NA,NA,NA,NA,2018-09-03T13:04:32+03:00,DOCUMENTS,0,0,0,0
"Уралмаш. Кузнечно-прессовый цех. 1947 Щербаков Б.В.  Холст, масло  69х95,5    КП -2398  Ж-5606",NA,"Общее загрязнение. Сбоина 3 см в центре, грубо заделанная, без соответствующей мастиковки. То же в трех местах по нижней кромке. ",ЖИВОПИСЬ,NA,NA,NA,NA,2018-09-03T13:56:21+03:00,ART,1,0,0,0
"Пограничная река. Из серии ""Памир"" 1972   Митурич М.П.  Бумага, акварель  48,7х65,7  КП-137335  РС-11182  ГК-6038767","В правом нижнем углу граф.кар.: ""М.Митурич 72""  ",Коробленность листа.  В правой половине листа несколько царапин по красочному слою. Проколы от кнопок. В верхних углах следы монтировок. ,ЖИВОПИСЬ,NA,NA,NA,NA,2018-09-04T15:08:30+03:00,ART,1,0,0,0
"Светлый лес. 1968, Митурич М.П.  Бумага, шариковая ручка. 65х50  КП-137337  РС-11184  ГК-6038790 ","В правом нижнем углу граф.кар.: ""М.Митурич""","Сильная деформация бумаги. Несколько вертикальных прорывов листа ручкой (авторские). Разрыв бумаги ок. 5 см. По верхнему краю  в нижних углах пятна клея, следы монтировок",ЖИВОПИСЬ,NA,NA,NA,NA,2018-09-04T15:08:30+03:00,ART,0,0,0,0
"Каникулы. 1973 г., Митурич М.П.  Бумага, итальянский карандаш. 64х44,8  КП-123908  РС-9227  ГК-5784791",NA,Легкая потертость.,ЖИВОПИСЬ,NA,NA,NA,NA,2018-09-04T15:08:30+03:00,ART,0,0,0,0
"Портрет дочери. 1972 г. Митурич М.П.  Бумага, графитный карандаш. 56,7х38,2  КП-137336  РС-11183  ГК-6038782","В правом нижнем углу граф.кар.: ""М.Митурич XII 72""","Легкое загрязнение, потертость, в верхних углах - монтировки",ЖИВОПИСЬ,NA,NA,NA,NA,2018-09-04T15:08:30+03:00,ART,1,0,0,0
"В узбекском селении. 1965 г. Митурич М.П.  Бумага, тушь  50х65    КП-137333  РС-11180  ГК-6038797  ","В правом нижнем углу граф.кар.: ""М.Митурич""",Лист покороблен. Многочисленные мелкие разрывы по краям. В верхних углах следы монтировок. ,ЖИВОПИСЬ,NA,NA,NA,NA,2018-09-04T15:08:30+03:00,ART,0,0,0,0
"Зимой. 1968 г., Митурич М.П.  Бумага,тушь. 61,3х44,8  КП-120366  РС-8587  ГК-5784072","Справа внизу карандашом ""М. Митурич 68""",NA,ЖИВОПИСЬ,NA,NA,NA,NA,2018-09-04T15:08:30+03:00,ART,0,0,0,0
"Август. Раздумье. 1972 Попов И.А.  Холст, масло. 75х115  КП-131705  Ж-9350  ГК-8374586","На обороте холста надпись: Попов И.А. Август. Раздумье. 72 г., разм. 75х115",без видимых иъянов,ЖИВОПИСЬ,NA,NA,NA,NA,2018-09-06T15:19:02+03:00,ART,1,0,0,0
"Зеркало в мастерсткой. 1979 г. Попов И.А.  Холст, масло. 125х150  КП-142784  Ж-10682  ГК-8380751","На обороте авторская надпись: Попов И.А. ""Зеркало в мастерской"" 1979 г. 125х150",загрязнение,ЖИВОПИСЬ,NA,NA,NA,NA,2018-09-06T15:19:02+03:00,ART,1,0,0,0
"Начало работы (Пустая мастерская) 1974 Попов И.А  Холст, масло. 85х100  КП-141937  Ж-10576",NA,NA,ЖИВОПИСЬ,NA,NA,NA,NA,2018-09-06T15:19:02+03:00,ART,1,0,0,0
"Письмо из Нежельского. 1984 Попов И.А.  Холст, масло. 100х120  КП-150769  Ж-11449  ГК-8391958","На обороте авторская надпись: Попов И.А. ""Письмо из Нежельского"" 1984 г. 100х120",В левой верхней четверти диагональная царапина 7 см. ,ЖИВОПИСЬ,NA,NA,NA,NA,2018-09-06T15:19:02+03:00,ART,1,0,0,1
"В мастерской. 1970-1973 Попов И.А.  Холст, масло. 70х90  КП-133638  Ж-9559  ","На обороте холста надпись: Попов И.А. ""В мастерской"" 70-73 68х90",NA,ЖИВОПИСЬ,NA,NA,NA,NA,2018-09-06T15:19:02+03:00,ART,1,0,0,0
"Альбом с писчими перьями рекламный, фирмы ""D. Leonardt and Co"". Великобритания, 2-я половина 19 в. - начало 20 в. (?). Альбом складной, с золотым тиснением. Кожа черная, атлас вишневый, бумага, картон, сталь. 112 стальных перьев крепятся к шести картонным листам нитями желтого цвета, под каждым пером - надпись номера тушью. Размер: 650х217 мм (альбом), 120х217х20 мм (в сложенном виде), 215х40 мм (лист). ПМ КП 13835/755-866","Надпись золотым тиснением: ""D. Leonardt and Co Birmingham""; фирменный знак - три льва","Кожа потерта, загрязнена, повреждения, надрывы. Отсутствует 14 перьев: №№ 10 EF 297, 502 EF, 511 EF, 513 EF, 544 EF, 600 EF 1195, 4750, 5961, 5961 Nickel, 8565 ALM, 8586, 9786",ПЕЧАТНЫЕ ИЗДАНИЯ,NA,NA,NA,NA,2018-09-07T10:00:22+03:00,DOCUMENTS,0,0,1,0
"Значок нагрудный с изображением гоночного автомобиля. СССР. Изображен гоночный автомобиль, с игольчатой застежкой. Сплав медный. 30х15 мм ПМ КП 22456/288","Надпись: ""CHEMPIONATS-1973 г. PSRS""",Без видимых повреждений,МОНЕТА / МЕДАЛЬ,NA,NA,NA,NA,2018-09-07T10:13:19+03:00,NUMISMATICS,0,0,0,0
"Значок нагрудный с изображением пятиконечной звезды. СССР. Неправильной прямоугольной формы. Слева изображение пятиконечной звезды, справа буква ""S"". Эмаль белого и черного цвета. Металл желтого цвета, эмаль. 12х6 мм ПМ КП 26839/24",Нет данных,Без застежки,МОНЕТА / МЕДАЛЬ,NA,NA,NA,NA,2018-09-07T10:13:19+03:00,NUMISMATICS,0,0,0,0
"Афиша о цикле докладов по торфяному делу (с 23 января 1922 г. по 14 февраля) в аудитории № 2 Политехнического музея. Россия, 1922 г. Бумага ПМ КП 14915",Нет данных,Без видимых повреждений,ПЕЧАТНЫЕ ИЗДАНИЯ,NA,NA,NA,NA,2018-09-07T10:28:49+03:00,DOCUMENTS,0,0,0,0
"Афиша Норильского отделения Всесоюзного общества по распространению политических и научных знаний, Московского Политехнического Музея. Состоится лекция на тему: Техника советского телевидения. Лектор инженер Козлов Г.П. СССР, г. Москва, 1951 год. Бумага. 59,5х42 см. ПМ КП 15564",Нет данных,Без видимых повреждений,ПЕЧАТНЫЕ ИЗДАНИЯ,NA,NA,NA,NA,2018-09-07T10:28:49+03:00,DOCUMENTS,0,0,0,0
"Афиша Норильского отделения Всесоюзного общества по распространению политических и научных знаний, Московского Политехнического Музея. Состоится лекция на тему: ""Магнитная запись звука"". Лектор инженер Козлов Г.П. СССР, г. Москва. 1951 год. Бумага. 59,5х42 см. ПМ КП 15565",Нет данных,Без видимых повреждений,ПЕЧАТНЫЕ ИЗДАНИЯ,NA,NA,NA,NA,2018-09-07T10:28:49+03:00,DOCUMENTS,0,0,0,0
"Афиша: Московский Дом техники водного транспорта (отдел водного транспорта Государственного политехнического музея) (1938-1940 гг.). – М.: тип. Наркома обороны СССР. СССР, г. Москва, 1938 - 1940 гг. (?). На одном листе. Типографский шрифт цветной (красный, черный), иллюстрация экспозиции. Тираж 1000 экземпляров. Бумага. 73х56 см. ПМ КП 23373/12",Нет данных,"Помята, потрепана",ПЕЧАТНЫЕ ИЗДАНИЯ,NA,NA,NA,NA,2018-09-07T10:28:49+03:00,DOCUMENTS,0,0,0,0
"Афиша Политехнического музея ""Всесоюзная выставка отечественного приборостроения"". СССР, г. Москва, 1948 г. На одном листе. Бумага зеленая, типографский шрифт белый и салатовый. Тираж 3000 экземпляров. Бумага. 59х86 см. Фабрика ""Детская книга"" Детгиза - изготовитель. ПМ КП 23373/100",Нет данных,Помята,ПЕЧАТНЫЕ ИЗДАНИЯ,NA,NA,NA,NA,2018-09-07T10:28:49+03:00,DOCUMENTS,0,0,0,0
"Микрофотография. СССР. Микропленка укреплена на стекле, склеенном с лупой. На пленке строки из поэмы Лермонтова ""Демон"": ""Клянусь полночною звездою..."". Высота всей конструкции 1,5 см. ПМ КП 15702",Нет данных,Помутнение стекла из-за самодельного ремонта (приклеивание стекла к лупе эпоксидным клеем),ПЕЧАТНЫЕ ИЗДАНИЯ,NA,NA,NA,NA,2018-09-07T10:32:17+03:00,DOCUMENTS,0,0,0,0
"Письмо от рабочих фирмы транспортных сооружений ""Блейхерт"". ГДР, г. Лейпциг, конец 1940-х годов. Бумага. ПМ КП 12359/2",Нет данных,Нет данных,ПЕЧАТНЫЕ ИЗДАНИЯ,NA,NA,NA,NA,2018-09-07T13:02:50+03:00,DOCUMENTS,0,0,0,1
"Инструкция от рабочих фирмы транспортных сооружений ""Блейхерт"" к модели ""Фрезерная шаровая лопата"". ГДР, г. Лейпциг, конец 1940-х годов. Бумага ПМ КП 12359/3",Нет данных,Нет данных,ПЕЧАТНЫЕ ИЗДАНИЯ,NA,NA,NA,NA,2018-09-07T13:02:50+03:00,DOCUMENTS,0,0,0,0
"Свидетельство-сертификат, удостоверяющее подлинность трансатлантического кабеля 1858 г. США, 1858 г. На английском языке. Подпись Сайруса Филда. Бумага. ПМ КП 14158/3",Нет данных,Без видимых повреждений,ПЕЧАТНЫЕ ИЗДАНИЯ,NA,NA,NA,NA,2018-09-07T13:02:50+03:00,DOCUMENTS,0,0,0,0
"Инструкция. Назначение автоматического граммофона. СССР, 1938 г. В виде бумажной пластинки. Бумага. ПМ КП 15254/2",Нет данных,Без видимых повреждений,ПЕЧАТНЫЕ ИЗДАНИЯ,NA,NA,NA,NA,2018-09-07T13:02:50+03:00,DOCUMENTS,0,0,0,0
"Журнал ""Motor traction"" N 598, август 1916 г., 52 с. На английском языке. Бумага. ПМ КП 15368",Нет данных,Без видимых повреждений,ПЕЧАТНЫЕ ИЗДАНИЯ,NA,NA,NA,NA,2018-09-07T13:02:50+03:00,DOCUMENTS,0,0,0,0
Брошюра: Описание консистометра масляных жидкостей фирмы Цейс. - 1907. - 16 с. Бумага. ПМ КП 15444,Нет данных,Без видимых повреждений,ПЕЧАТНЫЕ ИЗДАНИЯ,NA,NA,NA,NA,2018-09-07T13:02:50+03:00,DOCUMENTS,0,0,0,0
"Удостоверение к почетному знаку оргкомитета ""Олимпиада-80"". СССР. Незаполненный бланк. Бумага. 14,7х10,7 см. ПМ КП 16280/2",Нет данных,Без видимых повреждений,ПЕЧАТНЫЕ ИЗДАНИЯ,NA,NA,NA,NA,2018-09-07T13:02:50+03:00,DOCUMENTS,0,0,0,0
"Книга: Промышленность и техника: Энциклопедия промышленных знаний в 10 томах. Том 4: Сельское хозяйство и обработка важнейших его продуктов/ Перевод с 9-го немецкого издания. - СПб., 1904. - 746 с. Бумага. ПМ КП 18107/4",Нет данных,Без видимых повреждений,ПЕЧАТНЫЕ ИЗДАНИЯ,NA,NA,NA,NA,2018-09-07T13:02:50+03:00,DOCUMENTS,0,0,0,0
"Руководство печатное к безопасной бритве ""Star"". США, г. Нью-Йорк, конец 19 века. На английском языке. Бумага. Типографская печать, рукописные пометки. ПМ КП 14256/6",Нет данных,"Потерто, порвано, загибы, следы перевода",ПЕЧАТНЫЕ ИЗДАНИЯ,NA,NA,NA,NA,2018-09-07T13:02:50+03:00,DOCUMENTS,0,0,0,0
"Паспорт к радиоле ""Минск Р-7"". СССР, 1955 г. 1 л. Бумага. ПМ КП 9403/2",Нет данных,Нет данных,ПЕЧАТНЫЕ ИЗДАНИЯ,NA,NA,NA,NA,2018-09-07T14:00:55+03:00,DOCUMENTS,0,0,0,0
Листовка: Фонарь переносной ГАЗАГ (HASAG): Наставление на русском языке. Бумага. ПМ КП 13541/3,Нет данных,Нет данных,ПЕЧАТНЫЕ ИЗДАНИЯ,NA,NA,NA,NA,2018-09-07T14:00:56+03:00,DOCUMENTS,0,0,0,0
Листовка: Фонарь переносной ГАЗАГ (HASAG): Наставление на немецком языке. Бумага. ПМ КП 13541/4,Нет данных,Нет данных,ПЕЧАТНЫЕ ИЗДАНИЯ,NA,NA,NA,NA,2018-09-07T14:00:56+03:00,DOCUMENTS,0,0,0,0
"Паспорт к приёмнику телевизионному ""Темп"". СССР, 1954 г. 1 лист. Бумага. ПМ КП 9050/2",Нет данных,Нет данных,ПЕЧАТНЫЕ ИЗДАНИЯ,NA,NA,NA,NA,2018-09-07T14:00:56+03:00,DOCUMENTS,0,0,0,0
"Описание техническое и инструкция по эксплуатации на дозиметры карманные ДК-0,2. - 12 с. СССР, г. Киев. Бумага. ПМ КП 11634/11",Нет данных,Нет данных,ПЕЧАТНЫЕ ИЗДАНИЯ,NA,NA,NA,NA,2018-09-07T14:00:56+03:00,DOCUMENTS,0,0,0,0
"Паспорт радиостанции типа У-1, завод им. Казицкого, 1947 г., 4 с. СССР, 1947 г. Бумага. ПМ КП 5589/7",Нет данных,Нет данных,ПЕЧАТНЫЕ ИЗДАНИЯ,NA,NA,NA,NA,2018-09-07T14:00:56+03:00,DOCUMENTS,0,0,0,0
Паспорт технический на коммутатор ЛБК-40. СССР. Один лист. Бумага. ПМ КП 6018/2,Нет данных,Нет данных,ПЕЧАТНЫЕ ИЗДАНИЯ,NA,NA,NA,NA,2018-09-07T14:00:56+03:00,DOCUMENTS,0,0,0,0
"Лента ферромагнитная с записями лекции, посвященной 90-летию со дня рождения В.И. Ленина. 1962 год. 19 коробок, 9200 метров. Ферромагнит. ПМ КП 11391",Нет данных,Нет данных,ПЕЧАТНЫЕ ИЗДАНИЯ,NA,NA,NA,NA,2018-09-07T14:00:56+03:00,DOCUMENTS,0,0,0,0
"Описание и правила пользования к самописцу ""И3-77"". СССР, 1962 г. На 64 страницах. Бумага. ПМ КП 11625/2",Нет данных,Нет данных,ПЕЧАТНЫЕ ИЗДАНИЯ,NA,NA,NA,NA,2018-09-07T14:00:56+03:00,DOCUMENTS,0,0,0,0
"Инструкция к электропроигрывателю ЭП-3. СССР, г. Ленинград. Бумага. ПМ КП 12304/2",Нет данных,Нет данных,ПЕЧАТНЫЕ ИЗДАНИЯ,NA,NA,NA,NA,2018-09-07T14:00:56+03:00,DOCUMENTS,0,0,0,0
Аттестат выпускной N 661 динамометра пружинного указывающего типа ДПУ-2. СССР. Бумага. ПМ КП 13772/3,Нет данных,Нет данных,ПЕЧАТНЫЕ ИЗДАНИЯ,NA,NA,NA,NA,2018-09-07T14:00:56+03:00,DOCUMENTS,0,0,0,0
"Описание, инструкция к звукозаписывающему аппарату ""Волна""/ МЭП. - М., 1955. - 20 с.: ил. СССР, г. Москва, 1955 г. Бумага. ПМ КП 17971/5",Нет данных,Нет данных,ПЕЧАТНЫЕ ИЗДАНИЯ,NA,NA,NA,NA,2018-09-07T14:00:56+03:00,DOCUMENTS,0,0,0,0
"Краткое техническое описание и инструкция по эксплуатации стендового кинопроекционного устройства ""СКУ-35"" (к КП 11586). 20 с. СССР. Бумага. ПМ КП 20243",Нет данных,Нет данных,ПЕЧАТНЫЕ ИЗДАНИЯ,NA,NA,NA,NA,2018-09-07T14:00:56+03:00,DOCUMENTS,0,0,0,0
"Руководство по эксплуатации системы акустической ""Амфитон"" 25АС-027. - 6 с. СССР, 1985 г. Бумага. ПМ КП 20061/3",Нет данных,Без видимых повреждений,ПЕЧАТНЫЕ ИЗДАНИЯ,NA,NA,NA,NA,2018-09-07T14:00:56+03:00,DOCUMENTS,0,0,0,0
"Инструкция по эксплуатации ""Универсальный стенд для проверки элементарных ячеек арифметических устройств машины типа ""Стрела"". - М., 1954. СССР, г. Москва, 1954 г. На восьми листах. Светокопия СКБ-245 в картонной обложке. Бумага, картон. 35,0х22,0х0,5 см. ПМ КП 20505",Нет данных,Нет данных,ПЕЧАТНЫЕ ИЗДАНИЯ,NA,NA,NA,NA,2018-09-07T14:00:56+03:00,DOCUMENTS,0,0,0,0
"Руководство по эксплуатации ""Телеантенна"", 2 л. СССР, г. Москва. 1985 г. Бумага. ПМ КП 20712/2",Нет данных,Без видимых повреждений,ПЕЧАТНЫЕ ИЗДАНИЯ,NA,NA,NA,NA,2018-09-07T14:00:56+03:00,DOCUMENTS,0,0,0,0
